nombre;segundo apellido;primer apellido;baja;tlf;email;puesto;fecha contratacion;salario;id
Alberto;Garcia;Fernandez;;666777888;tetete@email.com;Contable;10/1/2015 15:16;18000;H1
Jorge;Gallego;Avila;;666444333;gfg@email.com;RRHH;10/1/2015 15:16;18000;H2
Miguel;Perez;Perez;;666222333;utyrfuytf@email.com;Recepcionista;10/1/2015 15:16;18000;H3
Xavier;Diaz;Garcia;;666111999;utgfuf@email.com;Responsable Tienda;10/1/2015 15:16;18000;H4
Alicia;Vivar;Agudo;;666555444;opiju@email.com;Jefe de Ventas;10/1/2015 15:16;18000;H5
Esther;Avila;Alin  ;1;666888333;tydf@email.com;Responsable Tienda;10/1/2015 18:16;18000;H7
Antonio;Perez;Perez;;666000888;pok@email.com;Cajero;10/1/2015 15:16;18000;H8
Juan;Garcia;Garcia;;666222888;ytd@email.com;Responsable Tienda;10/1/2015 15:16;18000;H9
Francisco;Agudo;Perez;1;654888999;oekjioh@email.com;"Abogado; Laboralista";10/1/2015 15:16;19000;H10
Clara;Campos;Garcia;;645888999;hufcg@email.com;Comercial;10/1/2015 15:16;18000;H11
Alba;Alin;Martinez;;622445511;szxd@email.com;Jefe de Marketing;10/1/2015 15:16;18000;H12
Javier;10/1/2015;Gerente Tienda;;18000;1;;;;H13
Álvaro;;Turdasan;;689745123;;Responsable1Tienda;10/1/2015 15:16;18000;H14
Andrés;Perez;Casillas;;687456213;;Gerente;10/1/2015 15:17;18000;H15
María;Garcia;Garcia;;687569856;iiu@email.com;"Inspector;calidad";10/1/2015 15:16;18000;H16
Nerea;;Garcia;;693985264;    hgf@email.com    ;Becario;10/1/2015 15:16;18000;H17


Manuel;Serrano;Gallego;;654238942;kjhhg@email.com;"Responsable;Tienda";10/1/2015 15:16;18000;H18
Sergio;Turdasan;Perez;;612378454; jhgfg@email.com;Gerente;10/1/2015 15:16;18000;H19
Iker;Casillas;Diaz;;698745321;yyyyuy@email.com;Becario;10/1/2015 15:16;18000;H21
Carlos;Garcia;Vivar;;689452136;plol@email.com;Becario;10/1/2015 15:16;18000;H22
Alfredo;Pintado;Escobar;1;655656767;alfred@email.com;Encargado de Mantenimiento;10/1/2015 15:16;18000;H23
Ana;del Castillo;Caballero;;682783723;anacc@email.com;Administrativo;10/1/2015 15:16;18000;H24
Marta;Gimenez;Salamanca;;602836862;martasg@email.com;Jefe de Proyecto IT;10/1/2015 15:16;18000;H25
Andrea;Sanchez;Fernández;;617638627;andreafsa@email.com;RRHH;011/10/2015 15:16:13;18000;H26
Elisa;Sevilla;Gómez;1;643342369;elisags@email.com;Encargado de Publicidad;10/11/2015 15:16;18000;H27
Ainhoa;Garcia;Segovia;;697538627;ainhoasgar@email.com;Responsable Tienda;10/11/2015 15:16;18000;H29
Juan Manuel;Estrella;Romero;;697536981;juanmare@email.com;"Jefe; Publicidad";10/11/2015 15:16;18000;H31
Elena;Jimenez;de Pablos;1;688889265;helenpj@email.com;Encargado de Mantenimiento;10/11/2015 11:16;18000;H33
Maria Luisa;del Rosario;Gutierrez;;688225362;mariluigr@email.com;Cajero;10/11/2015 15:16;18000;H36
Ruth;Rey;Delgado;;668761152;rudere@email.com;Encargado de Limpieza;10/11/2015 15:16;18000;H37
Nerea;López;Gonzalez;;620338982;neregonlo@email.com;Cajero;10/11/2015 15:16;18000;H38
Maria del Mar;Gutierrez;González;;665825681;marimargogu@email.com;Administrativo;10/11/2015;18000;H39
Adrian; Casillas ; Lomillo;;621459870; yjjyuy@email.com;Comercial;10/11/2015 15:16;180+00;H40
Pelayo;Casillas;Pelaez;;126987413;haqwhdj@email.com;Quimico;10/11/2015 15:16;18000;H43
Diego;Sojunio;Sobarzo;;632159874;jqhds@email.com;Gerente;10/11/2015 15:16;18000;H44
Maria;Millan;Casado;;632145987;nhasjndx@email.com;Mantenimiento;10/11/2015 17:16;18000;H45
Sonia;Moran;Puertas;;654789152;yqwter@email.com;Quimico;10/11/2015 15:16;18000;H46
Beatriz;Huertas;Rosado;;635987415;aasxz@email.com;Quimico;10/11/2015 15:16;18000;H47
Lucia;Bazan;Pardo;;698745036;seerfa@email.com;Reponedor;10/21/2015 15:16;18*000;H48
Sara;Obtuso;Hernandez;;63219874;aqqwr@email.com;Becario;10/12/2015 15:16;18000;H49
Fabiola;Centena;Decena;;652169743;ghjjhey@email.com;Seguridad;10/21/2015 15:16;18000;H50
Lorena;Moreno;Garcia;;63897421;gwtdgw@email.com;Becario;10/21/2015 15:16;18000;H51
Diego;Grande;Fernandez;;652653623;ppwqÃ±wkl@email.com;Seguridad;10/21/2015 15:16;18000;H52
Lidia;Alin;Turdasan;;655442536;fgwegd@email.com;Comercial;10/21/2015 15:16;18000;H53
Elisa;Vacias;Casas;;Programador Senior;10/1/2015;18000;falses;;H60
Jorge;Obtuso;Hernandez;;63219874;aqqwr@email.com;Becario;9/22/2015 15:16;18000;H61
Marisa;Agudo;Hernandez;;63219874;aqqwr@email.com;"Beca;rio";10/13/2016 15:16;18000;H62
Petunia;Isosceles;Hernandez;;63219874;aqqwr@email.com;Becario;11/12/2017 15:16;18000;H63
