id;name;first surname;second surname;phone;email;job;hiring_date;year_salary;sick_leave;status
H61;Jorge;Hernandez;Obtuso;63219874;aqqwr@email.com;Becario;09/10/2016 15:16:13;18000;false;CREATE
H63;Petunia;Hernandez;Isosceles;63219874;aqqwr@email.com;Becario;11/12/2017 15:16:13;18000;false;CREATE
H62;Marisa;Hernandez;Agudo;63219874;aqqwr@email.com;"Beca;rio";10/01/2017 15:16:13;18000;false;CREATE
H21;Iker;Diaz;Casillas;698745321;yyyyuy@email.com;Becario;10/01/2015 15:16:13;18000;false;CREATE
H43;Pelayo;Pelaez;Casillas;126987413;haqwhdj@email.com;Quimico;10/11/2015 15:16:13;18000;false;CREATE
H23;Alfredo;Escobar;Pintado;655656767;alfred@email.com;Encargado de Mantenimiento;10/01/2015 15:16:13;18000;true;CREATE
H45;Maria;Casado;Millan;632145987;nhasjndx@email.com;Mantenimiento;10/11/2015 17:16:13;18000;false;CREATE
H22;Carlos;Vivar;Garcia;689452136;plol@email.com;Becario;10/01/2015 15:16:13;18000;false;CREATE
H44;Diego;Sobarzo;Sojunio;632159874;jqhds@email.com;Gerente;10/11/2015 15:16:13;18000;false;CREATE
H25;Marta;Salamanca;Gimenez;602836862;martasg@email.com;Jefe de Proyecto IT;10/01/2015 15:16:13;18000;false;CREATE
H47;Beatriz;Rosado;Huertas;635987415;aasxz@email.com;Quimico;10/11/2015 15:16:13;18000;false;CREATE
H24;Ana;Caballero;del Castillo;682783723;anacc@email.com;Administrativo;10/01/2015 15:16:13;18000;false;CREATE
H46;Sonia;Puertas;Moran;654789152;yqwter@email.com;Quimico;10/11/2015 15:16:12;18000;false;CREATE
H27;Elisa;Gómez;Sevilla;643342369;elisags@email.com;Encargado de Publicidad;10/11/2015 15:16:13;18000;true;CREATE
H49;Sara;Hernandez;Obtuso;63219874;aqqwr@email.com;Becario;10/12/2015 15:16:13;18000;false;CREATE
H26;Andrea;Fernández;Sanchez;617638627;andreafsa@email.com;RRHH;11/10/2015 15:16:13;18000;false;CREATE
H29;Ainhoa;Segovia;Garcia;697538627;ainhoasgar@email.com;Responsable Tienda;10/11/2015 15:16:13;18000;false;CREATE
H50;Fabiola;Decena;Centena;652169743;ghjjhey@email.com;Seguridad;10/09/2016 15:16:13;18000;false;CREATE
H52;Diego;Fernandez;Grande;652653623;ppwqÃ±wkl@email.com;Seguridad;10/09/2016 15:16:13;18000;false;CREATE
H51;Lorena;Garcia;Moreno;63897421;gwtdgw@email.com;Becario;10/09/2016 15:16:13;18000;false;CREATE
H10;Francisco;Perez;Agudo;654888999;oekjioh@email.com;"Abogado; Laboralista";10/01/2015 15:16:13;19000;true;CREATE
H31;Juan Manuel;Romero;Estrella;697536981;juanmare@email.com;"Jefe; Publicidad";10/11/2015 15:16:13;18000;false;CREATE
H53;Lidia;Turdasan;Alin;655442536;fgwegd@email.com;Comercial;10/09/2016 15:16:13;18000;false;CREATE
H12;Alba;Martinez;Alin;622445511;szxd@email.com;Jefe de Marketing;10/01/2015 15:16:13;18000;false;CREATE
H1;Alberto;Fernandez;Garcia;666777888;tetete@email.com;Contable;10/01/2015 15:16:13;18000;false;CREATE
H11;Clara;Garcia;Campos;645888999;hufcg@email.com;Comercial;10/01/2015 15:16:13;18000;false;CREATE
H33;Elena;de Pablos;Jimenez;688889265;helenpj@email.com;Encargado de Mantenimiento;10/11/2015 11:16:13;18000;true;CREATE
H2;Jorge;Avila;Gallego;666444333;gfg@email.com;RRHH;10/01/2015 15:16:13;18000;false;CREATE
H14;�?lvaro;Turdasan;NULL;689745123;NULL;Responsable Tienda;10/01/2015 15:16:13;18000;false;CREATE
H36;Maria Luisa;Gutierrez;del Rosario;688225362;mariluigr@email.com;Cajero;10/11/2015 15:16:13;18000;false;CREATE
H3;Miguel;Perez;Perez;666222333;utyrfuytf@email.com;Recepcionista;10/01/2015 15:16:13;18000;false;CREATE
H4;Xavier;Garcia;Diaz;666111999;utgfuf@email.com;Responsable Tienda;10/01/2015 15:16:13;18000;false;CREATE
H16;María;Garcia;Garcia;687569856;iiu@email.com;"Inspector;calidad";10/01/2015 15:16:13;18000;false;CREATE
H38;Nerea;Gonzalez;López;620338982;neregonlo@email.com;Cajero;10/11/2015 15:16:13;18000;false;CREATE
H5;Alicia;Agudo;Vivar;666555444;opiju@email.com;Jefe de Ventas;10/01/2015 15:16:13;18000;false;CREATE
H15;Andrés;Casillas;Perez;687456213;NULL;Gerente;10/01/2015 15:17:13;18000;false;CREATE
H37;Ruth;Delgado;Rey;668761152;rudere@email.com;Encargado de Limpieza;10/11/2015 15:16:13;18000;false;CREATE
H18;Manuel;Gallego;Serrano;654238942;kjhhg@email.com;"Responsable;Tienda";10/01/2015 15:16:13;18000;false;CREATE
H7;Esther;Alin;Avila;666888333;tydf@email.com;Responsable Tienda;10/01/2015 18:16:13;18000;true;CREATE
H17;Nerea;Garcia;NULL;693985264;hgf@email.com;Becario;10/01/2015 15:16:13;18000;false;CREATE
H8;Antonio;Perez;Perez;666000888;pok@email.com;Cajero;10/01/2015 15:16:13;18000;false;CREATE
H9;Juan;Garcia;Garcia;666222888;ytd@email.com;Responsable Tienda;10/01/2015 15:16:13;18000;false;CREATE
H19;Sergio;Perez;Turdasan;612378454;jhgfg@email.com;Gerente;10/01/2015 15:16:13;18000;false;CREATE
